age,gender,job,club,sport,band,game_hrs,GPA,siblings,friends,books,meals,iphone,songs,absent,romance,study,mother,father,parents,CARD
15,M,N,Y,Y,N,3,3.065,2,5,1,1,N,1,3,N,1,,,M,1
16,F,N,Y,Y,N,1,4.1,1,2,1,1,Y,2,1,N,2,4,4,M,3
16,F,Y,Y,Y,N,1,3.7,3,3,2,10,Y,2,10,N,3,5,5,M,2
16,M,N,Y,N,N,1,4,1,2,1,2,N,,0,N,3,4,2,M,1
17,F,Y,Y,Y,N,1,3.8,3,3,1,4,Y,2,2,Y,3,4,5,M,3
16,M,N,Y,Y,N,1,3.967,1,1,1,5,Y,2,0,N,5,5,4,M,1
18,M,Y,Y,Y,Y,1,4.41,2,2,1,1,Y,1,1,N,2,5,4,M,1
17,M,Y,N,Y,N,3,3.4,2,2,1,14,Y,4,5,N,2,4,4,M,3
17,M,Y,Y,Y,N,2,3.85,2,2,2,6,Y,4,0,N,2,4,4,M,1
14,M,N,Y,Y,N,1,3.8,1,3,1,3,Y,2,0,N,2,5,5,M,2
16,M,Y,Y,Y,Y,1,4,1,2,1,3,Y,4,1,Y,3,5,5,D,2
15,F,Y,Y,N,N,1,3.9,3,2,1,,Y,2,0,N,3,2,4,M,2
16,M,Y,Y,N,N,2,4,3,1,2,10,Y,4,1,N,4,5,5,M,2
15,F,N,Y,Y,Y,1,3.9,1,2,1,0,Y,1,1,N,4,4,4,M,2
16,F,N,Y,Y,Y,1,4.24,1,2,1,,Y,4,0,N,3,,3,M,2
16,F,Y,Y,N,N,1,3.6,1,2,1,3,Y,3,0,N,3,5,4,M,2
16,F,N,Y,Y,N,1,4.283,2,2,3,3,Y,4,4,N,3,3,5,M,2
16,M,Y,N,Y,N,1,4.3,1,1,2,3,N,2,0,Y,5,5,5,D,2
17,F,N,Y,N,N,1,4,1,2,1,12,Y,1,2,N,1,4,4,M,3
15,M,N,Y,Y,N,1,,2,,,,Y,,,N,,,,M,3
16,F,N,Y,Y,N,1,4.5,3,2,2,2,Y,4,0,N,3,4,4,M,2
17,F,N,Y,N,Y,1,3.9,2,3,1,5,Y,,3,Y,1,4,4,M,2
17,M,N,Y,Y,N,2,3.7,2,3,1,6,Y,1,2,Y,2,4,4,D,1
17,F,Y,N,Y,N,1,4,1,2,4,4,Y,3,0,N,0,4,5,M,2
17,M,N,Y,Y,N,5,3.9,1,1,1,3,N,2,1,N,1,4,3,D,1
17,M,Y,Y,N,N,5,3.4,8,1,4,6,N,2,1,Y,2,1,1,D,1
18,F,Y,Y,Y,Y,1,4.15,1,2,1,2,Y,2,2,N,1,4,4,M,3
18,M,N,Y,Y,N,1,3.4,1,2,1,1,Y,3,0,N,5,4,4,M,2
18,F,Y,Y,Y,N,1,,1,3,1,25,Y,1,15,N,1,2,2,M,1
17,F,Y,Y,B,Y,1,4.05,4,2,1,4,Y,1,0,Y,5,,,D,3
17,F,Y,Y,N,N,1,3.5,4,2,1,3,N,1,3,N,5,4,5,D,3
18,F,Y,Y,N,N,2,5,1,2,4,1,Y,4,1,N,2,5,5,M,2
17,M,Y,N,N,N,1,3.5,2,2,1,3,N,3,0,N,2,4,4,M,2
17,F,N,Y,N,N,1,3.467,2,2,2,6,Y,1,0,Y,2,4,4,D,3
18,F,Y,Y,N,Y,1,3.4,1,2,1,3,Y,1,3,N,1,4,4,D,3
17,F,N,N,N,Y,1,,0,,1,,Y,,,Y,,4,4,M,3
17,F,Y,Y,N,Y,1,3.2,3,2,2,5,Y,3,1,Y,2,2,5,M,3
16,M,N,Y,Y,N,1,3.2,1,3,1,10,Y,3,0,Y,1,4,4,M,2
17,M,Y,N,N,N,3,3.2,1,3,1,5,Y,1,1,Y,1,2,2,D,1
17,F,N,Y,Y,N,1,3.3,2,1,1,10,Y,3,4,Y,1,3,4,M,3
17,M,Y,Y,Y,N,2,3.9,2,3,1,5,Y,1,4,N,3,4,4,M,2
18,M,Y,Y,Y,N,,,2,,,,Y,,,Y,,4,4,M,1
18,M,Y,Y,N,N,5,2.7,2,3,1,10,Y,4,3,N,1,4,4,M,1
17,M,Y,Y,Y,N,1,3,5,2,1,10,Y,,3,N,1,4,1,D,2
17,M,Y,N,N,N,1,3.6,2,0,1,0,N,4,0,N,3,4,5,M,2
17,M,Y,Y,N,N,2,3.4,2,2,1,10,Y,2,2,Y,1,4,5,M,3
17,M,N,Y,N,N,3,4.233,2,3,2,1,Y,1,0,N,1,5,5,M,1
17,M,N,N,N,Y,5,4.2,1,2,1,0,Y,1,0,N,3,3,3,M,1
17,M,Y,N,N,N,5,3.5,1,2,1,7,Y,1,0,N,1,4,5,M,1
18,F,Y,Y,Y,N,1,4,2,2,1,12,Y,2,6,Y,1,2,5,M,3
17,M,N,N,N,N,5,1.9,3,1,1,0,N,4,4,N,2,5,5,D,1
17,M,N,N,Y,Y,1,3.771,2,,1,4,Y,1,2,Y,2,5,4,M,3
18,M,N,Y,Y,Y,2,3.7,2,2,1,5,Y,1,15,N,1,4,3,D,1
16,F,Y,Y,N,N,1,4.1,2,1,1,2,Y,1,3,N,3,4,4,D,3
16,F,Y,Y,Y,Y,1,4,2,2,1,15,Y,1,2,N,1,5,4,M,3
16,F,Y,Y,Y,Y,2,2.8,2,1,1,0,Y,2,0,N,5,4,4,C,2
16,F,N,N,Y,N,1,3.7,2,4,3,20,Y,4,1,Y,3,2,2,M,3
15,M,N,Y,N,N,4,3.3,1,2,1,2,Y,3,1,N,2,4,3,M,2
18,F,N,Y,N,N,5,4.03,0,1,3,5,Y,5,1,N,4,2,4,D,2
14,M,N,Y,N,N,3,3.886,3,3,1,0,Y,1,0,N,2,3,4,D,1
